,mse_score,trial_id,return_period,seq_len,lr,momentum,optim_type,num_layers,hidden_size,num_fc_layers,activation_type
1930,0.03402570677496217,011e8_01930,3,2,0.1,0.750414478214067,2,4,64,1,2
50,0.03402763169653975,011e8_00050,2,2,0.001,0.547006449815126,1,1,16,2,3
564,0.03403606168621746,011e8_00564,2,2,0.01,0.6927512196094231,2,1,64,1,1
1823,0.03404252659639836,011e8_01823,3,2,0.01,0.17234181578498298,2,2,32,2,3
1929,0.03405269292402029,011e8_01929,3,2,0.1,0.25844691696936933,2,4,64,1,1
169,0.03405899967418939,011e8_00169,2,2,0.1,0.38457469357550067,1,2,16,1,2
26,0.034071881384668164,011e8_00026,2,2,0.01,0.45642310447125967,1,1,64,1,3
237,0.03407870363577301,011e8_00237,2,2,0.001,0.3370162488398403,1,2,128,3,1
77,0.0340843132635827,011e8_00077,2,2,0.1,0.8018557498673637,1,1,8,2,3
135,0.03412137767893627,011e8_00135,2,2,0.001,0.5487859028862644,1,2,8,1,1
1824,0.03412526127216091,011e8_01824,3,2,0.01,0.3948029157914471,2,2,64,2,1
432,0.03413110947688037,011e8_00432,2,2,0.01,0.6921525198207773,1,8,128,1,1
242,0.03413652080313208,011e8_00242,2,2,0.01,0.8531695293088422,1,2,8,3,3
1076,0.03414289077754206,011e8_01076,2,2,0.1,0.5535833227206565,2,8,64,3,3
568,0.0341466858648638,011e8_00568,2,2,0.01,0.4197765604893371,2,1,128,1,2
1701,0.03415029269704422,011e8_01701,3,2,0.1,0.6132690191940225,2,1,32,2,1
2065,0.03415545320615351,011e8_02065,3,2,0.1,0.3808367061310344,2,8,64,1,2
331,0.03415778625263168,011e8_00331,2,2,0.01,0.5968433252195443,1,4,8,2,2
730,0.034160811224980506,011e8_00730,2,2,0.001,0.26174655696506666,2,2,64,2,2
94,0.034166245795693335,011e8_00094,2,2,0.001,0.6685934876963866,1,1,16,3,2
759,0.03416960594700979,011e8_00759,2,2,0.1,0.5503543382270415,2,2,64,2,1
464,0.03417014938922757,011e8_00464,2,2,0.001,0.6952454380522917,1,8,128,2,3
1727,0.03417022897519013,011e8_01727,3,2,0.01,0.45325435873303854,2,1,8,3,3
1931,0.034182522476655104,011e8_01931,3,2,0.1,0.18912266526149946,2,4,64,1,3
522,0.03418317241918043,011e8_00522,2,2,0.01,0.8373646511499776,1,8,128,3,1
1717,0.0341869524913763,011e8_01717,3,2,0.001,0.1374262570501671,2,1,32,3,2
